Name,Qty owned,Total cost
448 || MITSUBISHI VFD || FR-A840-22K-1,72,"4,872,135.04"
456 || MITSUBISHI VFD || FR-A840-55K-1,19,"3,406,302.34"
460 || MITSUBISHI VFD || FR-A840-90K-1,9,"2,614,537.22"
450 || MITSUBISHI VFD || FR-A840-30K-1,22,"2,511,304.52"
461 || MITSUBISHI VFD || FR-F840-110K-1,7,"1,787,622.53"
473 || MITSUBISHI VFD || FR-F840-280K-1,2,"1,550,099.70"
468 || MITSUBISHI VFD || FR-A840-185K-1,2,"1,440,107.56"
449 || MITSUBISHI VFD || FR-F840-30K-1,17,"1,429,231.30"
444 || MITSUBISHI VFD || FR-A840-15K-1,22,"1,287,173.86"
432 || MITSUBISHI VFD || FR-E840-7.5K-1,42,"1,251,675.09"
465 || MITSUBISHI VFD || FR-F840-160K-1,3,"1,162,014.48"
430 || MITSUBISHI VFD || FR-D740-7.5K,37,"1,018,593.79"
474 || MITSUBISHI VFD || FR-A840-280K-1,1,"945,367.08"
472 || MITSUBISHI VFD || FR-A840-250K-1,1,"902,386.23"
437 || MITSUBISHI VFD || FR-E840-11K-1,22,"883,027.87"
470 || MITSUBISHI VFD || FR-A840-220K-1,1,"862,406.06"
452 || MITSUBISHI VFD || FR-A840-37K-1,5,"664,699.25"
463 || MITSUBISHI VFD || FR-F840-132K-1,2,"663,912.22"
445 || MITSUBISHI VFD || FR-F840-18.5K-1,12,"627,981.10"
457 || MITSUBISHI VFD || FR-F840-75K-1,3,"583,346.17"
417 || MITSUBISHI VFD || FR-E840-2.2K-1,30,"555,447.36"
458 || MITSUBISHI VFD || FR-A840-75K-1,2,"512,109.63"
442 || MITSUBISHI VFD || FR-E840-15K-1,9,"435,419.58"
455 || MITSUBISHI VFD || FR-F840-55K-1,3,"421,486.39"
429 || MITSUBISHI VFD || FR-A840-5.5K-1,8,"388,092.28"
439 || MITSUBISHI VFD || FR-A840-11K-1,6,"335,952.88"
427 || MITSUBISHI VFD || FR-E840-5.5K-1,12,"330,973.14"
121 || MITSUBISHI VFD || FR-E820-2.2K-1,23,"289,249.62"
447 || MITSUBISHI VFD || FR-F840-22K-1,4,"276,662.31"
420 || MITSUBISHI VFD || FR-D740-3.7K,12,"263,861.60"
407 || MITSUBISHI VFD || FR-E840-0.75K-1,17,"262,089.95"
424 || MITSUBISHI VFD || FR-A840-3.7K-1,6,"228,376.24"
104 || MITSUBISHI VFD || FR-D720S-2.2K,16,"224,299.64"
451 || MITSUBISHI VFD || FR-F840-37K-1,2,"224,019.27"
415 || MITSUBISHI VFD || FR-D740-2.2K,11,"207,495.91"
434 || MITSUBISHI VFD || FR-A840-7.5K-1,4,"200,707.82"
128 || MITSUBISHI VFD || FR-A820-3.7K-1,6,"200,062.67"
446_01 || MITSUBISHI VFD || FR-A840-18.5K-1 (PEC),2,"200,000.00"
102 || MITSUBISHI VFD || FR-D720S-0.75K,18,"193,159.42"
100 || MITSUBISHI VFD || FR-D720S-0.4K,18,"188,259.12"
410 || MITSUBISHI VFD || FR-D740-1.5K,11,"172,707.82"
454 || MITSUBISHI VFD || FR-A840-45K-1,1,"156,883.22"
111 || MITSUBISHI VFD || FR-E820-0.75K-1,12,"154,193.18"
422 || MITSUBISHI VFD || FR-E840-3.7K-1,8,"151,736.60"
419 || MITSUBISHI VFD || FR-A840-2.2K-1,5,"147,528.13"
453 || MITSUBISHI VFD || FR-F840-45K-1,1,"131,419.03"
460_01 || MITSUBISHI VFD || FR-HEL-H90K,9,"128,789.32"
474_01 || FR-HEL-H280K,3,"122,368.43"
126 || MITSUBISHI VFD || FR-E820-3.7K-1,8,"116,914.97"
441 || MITSUBISHI VFD || FR-E740-15K,3,"116,137.68"
105 || MITSUBISHI VFD || FR-D720-0.4K,12,"114,001.36"
462_01 || MITSUBISHI VFD || FR-HEL-H110K,7,"91,317.80"
119 || MITSUBISHI VFD || FR-D720-2.2K,7,"83,508.47"
468_01 || FR-HEL-H185K,2,"73,685.02"
458_01 || MITSUBISHI VFD || FR-HEL-H75K,5,"65,404.78"
465_01 || FR-HEL-H160K,3,"60,250.39"
115 || MITSUBISHI VFD || FR-E720-1.5K,5,"55,989.22"
401 || MITSUBISHI VFD || FR-D740-0.4K,5,"54,444.75"
412 || MITSUBISHI VFD || FR-E840-1.5K-1,3,"53,076.86"
124 || MITSUBISHI VFD || FR-D720-3.7K,4,"53,043.62"
472_01 || FR-HEL-H250K,1,"39,855.65"
405 || MITSUBISHI VFD || FR-D740-0.75K,3,"39,298.36"
463_01 || FR-HEL-H132K,2,"35,584.96"
469_01 || FR-HEL-H220K,1,"32,123.58"
103 || MITSUBISHI VFD || FR-D720S-1.5K,2,"24,161.55"
MITSUBISHI VFD || FR-S520SE-0.2K-19,1,"23,123.01"
416 || MITSUBISHI VFD || FR-E740-2.2K,0,0
421 || MITSUBISHI VFD || FR-E740-3.7K,0,0
423 || MITSUBISHI VFD || FR-F840-3.7K-1,0,0
444_01 || MITSUBISHI VFD || FR-A840-15K-1 || PEC,0,0
464 || MITSUBISHI VFD || FR-A840-132K-1,0,0
